age,gross_income,num_credit_cards,ind_actividad_cliente,num_Products,num_loans,duration,gender_M,segment_Individuals,segment_VIP,tiprel_1mes_I
78,69908.16,0,0,0,0,4373,1,1,0,1
36,102707.22,0,0,0,0,3014,0,1,0,1
46,76597.35,0,1,2,0,3768,0,1,0,0
25,422379.48,0,0,1,0,1047,0,0,0,1
48,42909.78,0,1,2,0,5927,0,1,0,0
22,139650.6,0,1,1,0,1136,1,0,0,0
68,96295.32,0,0,0,0,740,0,1,0,1
52,112208.07,0,0,0,0,2286,0,1,0,1
27,255427.68,0,0,1,0,648,0,1,0,1
45,125368.56,0,1,2,0,773,1,0,1,0
45,186947.43,0,1,1,0,6411,1,1,0,0
50,218126.31,0,1,2,0,2875,1,1,0,0
26,208272.75,0,0,1,0,1440,0,0,0,1
87,301353.06,0,0,1,0,5548,1,1,0,1
20,48855.15,0,0,1,0,390,0,0,0,1
51,59718.06,0,0,0,0,1060,0,1,0,1
84,71984.22,0,1,1,0,2874,0,1,0,1
67,78162.39,0,0,1,0,7127,0,1,0,1
46,176318.28,0,1,2,0,2594,1,1,0,0
69,167168.37,0,1,3,0,7464,0,0,1,0
45,108044.58,0,1,3,0,5454,0,1,0,0
35,107002.59,0,0,0,0,1707,0,1,0,1
34,25328.19,0,0,1,0,1763,1,1,0,1
44,39956.13,0,0,1,0,5207,0,1,0,1
44,67662.39,0,0,1,0,2796,0,1,0,1
57,156504.09,1,1,4,0,3552,0,1,0,0
63,44216.31,0,1,2,0,5550,1,1,0,0
24,44447.31,0,1,1,0,1874,1,0,0,0
47,231878.52,0,1,1,0,6009,1,1,0,0
51,228607.11,0,1,2,0,6571,0,1,0,0
63,89809.32,0,1,3,0,5031,0,0,1,0
45,74030.67,0,0,0,0,2309,1,1,0,1
50,138423.78,0,0,0,0,3492,1,1,0,1
43,165731.04,0,0,3,0,5585,0,1,0,0
26,156460.08,0,1,3,0,2536,1,1,0,0
39,98036.13,0,0,1,0,3982,0,1,0,1
49,314065.11,0,1,2,0,6418,1,1,0,1
30,141119.01,0,0,0,0,1805,0,1,0,1
22,38898.48,0,0,1,0,1089,1,0,0,1
21,183065.34,0,0,1,0,705,1,0,0,1
43,69705.24,0,1,3,0,1388,1,1,0,0
29,154203.54,0,1,2,0,1572,1,0,0,0
48,120512.49,0,1,2,0,5013,1,1,0,0
58,353091.0,0,0,1,0,7618,1,1,0,1
43,165714.12,0,1,2,0,5311,0,1,0,0
24,74892.96,0,0,1,0,1859,0,0,0,1
24,138941.19,0,0,0,0,1056,1,0,0,1
24,106928.73,0,0,1,0,702,0,0,0,1
22,34535.1,0,0,1,0,984,0,0,0,1
35,68158.77,0,0,1,0,1837,1,1,0,1
21,73584.75,0,0,1,0,1059,0,0,0,1
54,373965.51,0,1,2,0,6695,0,1,0,0
57,122968.32,1,1,2,0,4087,0,1,0,0
20,144433.83,0,1,1,0,415,1,0,0,0
24,53407.38,0,0,1,0,1873,1,0,0,1
48,128821.86,0,0,2,0,4996,1,1,0,0
74,113712.18,0,0,1,0,7256,0,1,0,0
50,203989.44,0,0,1,0,5806,1,1,0,1
22,182576.58,0,1,3,0,426,1,1,0,0
29,94271.52,0,0,1,0,1048,0,0,0,1
49,30458.07,1,1,4,0,2368,1,0,1,0
49,179617.8,0,1,1,0,6036,0,1,0,0
37,80757.75,0,0,0,0,1329,0,1,0,1
54,146655.93,0,0,1,0,3986,0,1,0,1
28,57281.46,0,1,2,0,1847,1,0,0,0
22,62402.07,0,0,1,0,1349,1,0,0,1
49,112718.25,0,1,1,0,7152,1,1,0,0
42,134737.53,1,1,5,0,1444,1,1,0,0
85,129322.68,0,0,1,0,3979,1,1,0,1
45,147517.08,0,0,1,0,788,0,1,0,1
54,191088.24,0,1,2,0,3033,0,1,0,0
86,235310.52,0,0,0,0,2305,0,1,0,1
51,73008.39,0,1,5,0,5426,1,0,1,0
26,93297.81,0,0,1,0,1500,1,0,0,1
47,200931.36,0,0,2,0,2860,0,1,0,1
58,130933.62,0,1,1,0,825,0,1,0,0
42,117857.28,0,1,3,0,5679,1,1,0,0
22,55555.44,0,0,0,0,1144,1,0,0,1
88,400137.12,0,0,0,0,4498,1,1,0,1
25,50303.79,0,1,1,0,1133,1,0,0,1
60,445352.7,0,0,2,0,5295,0,1,0,1
22,56113.5,0,0,1,0,1150,1,0,0,1
46,50926.26,0,1,4,0,779,0,1,0,0
29,64870.56,0,0,0,0,944,0,1,0,1
26,160880.4,0,1,2,0,2271,1,0,0,0
23,33191.22,0,1,1,0,1509,1,0,0,0
48,109373.88,1,1,5,0,7104,0,1,0,0
62,125565.0,0,1,1,0,4714,0,1,0,0
44,61048.11,0,0,2,0,5315,0,1,0,1
51,73330.77,0,1,3,0,2825,0,1,0,0
20,82140.21,0,1,1,0,409,0,0,0,0
40,38155.11,0,0,1,0,1798,1,1,0,1
24,76849.23,0,0,1,0,1823,1,0,0,1
42,137842.35,0,0,0,0,3985,0,1,0,1
23,253936.77,0,0,1,0,1431,0,0,0,1
25,54442.47,0,0,1,0,1397,0,0,0,1
45,71289.63,1,1,5,0,5219,0,1,0,0
49,44718.24,0,0,0,0,4884,0,1,0,1
20,70946.94,0,0,1,0,430,1,0,0,1
69,192463.8,0,1,1,0,4266,0,1,0,0
46,184480.08,0,1,4,0,2110,0,1,0,0
44,93029.19,0,1,2,0,391,0,1,0,0
25,97460.82,0,0,1,0,1152,1,0,0,1
36,105471.48,1,1,4,0,4518,1,1,0,0
46,113586.36,0,1,1,0,761,1,1,0,0
69,146211.93,1,1,5,0,6904,0,1,0,0
23,131311.71,0,0,0,0,1433,1,0,0,1
40,139426.5,0,0,0,0,5163,1,1,0,1
39,96281.55,0,1,1,0,2851,0,1,0,0
49,250010.85,0,0,1,0,3771,0,1,0,1
49,147978.39,0,1,1,0,3731,0,1,0,0
26,72384.84,0,0,1,0,1823,1,0,0,1
62,105515.49,1,1,3,0,2348,0,1,0,0
27,51814.38,0,0,1,0,1385,0,0,0,1
45,240073.38,0,1,2,0,772,0,0,1,0
43,123334.77,0,0,1,0,3533,1,1,0,1
44,40582.8,0,1,1,0,485,0,1,0,1
83,111085.29,0,0,1,0,6754,0,1,0,1
43,77829.54,0,1,1,0,5445,0,1,0,0
22,37256.91,0,0,0,0,1087,0,0,0,1
25,207957.33,0,0,0,0,684,1,0,0,1
43,144078.18,0,1,2,0,4125,1,1,0,0
25,102026.04,0,0,1,0,1801,1,0,0,1
22,65483.76,0,1,1,0,1131,1,0,0,1
27,103297.14,0,1,2,0,411,1,0,1,0
24,60736.17,0,1,2,0,810,1,0,0,0
26,64892.97,0,0,1,0,1452,0,0,0,1
49,84669.84,0,0,1,0,6558,0,1,0,1
46,152899.47,0,1,3,0,2996,0,1,0,0
22,48536.13,0,1,2,0,1144,0,0,0,0
25,87870.99,0,0,1,0,1824,1,0,0,1
20,234987.93,0,0,0,0,390,1,0,0,1
59,174303.36,0,1,4,0,5281,1,0,1,0
70,43426.92,0,0,0,0,1049,0,1,0,1
20,45058.05,0,1,1,0,423,1,0,0,1
25,75670.68,0,1,1,0,1815,0,0,0,1
27,166495.44,0,0,1,0,1062,0,0,0,1
22,108185.85,0,1,1,0,1144,1,0,0,1
23,50840.07,0,0,1,0,1658,1,0,0,1
48,141291.42,0,0,1,0,5378,1,1,0,1
54,163060.68,0,1,2,0,1924,1,1,0,1
42,22323.84,0,1,1,0,5646,1,1,0,0
42,58241.04,0,1,3,0,1892,1,1,0,0
35,36275.55,0,0,0,0,585,1,1,0,1
73,103741.14,0,0,0,0,6688,1,1,0,1
28,37261.2,0,0,1,0,1797,0,0,0,1
55,106864.05,0,0,0,0,4412,1,1,0,1
27,70029.18,0,0,1,0,710,1,0,0,1
53,82310.19,0,0,1,0,7054,0,1,0,1
45,181860.33,0,0,0,0,5074,0,1,0,1
22,21056.1,0,0,1,0,1075,0,0,0,1
61,173130.45,0,1,1,0,1867,1,1,0,1
45,146459.1,0,0,0,0,3738,0,1,0,1
67,165483.27,0,1,1,0,853,0,1,0,0
20,103878.57,0,1,1,0,716,1,0,0,0
39,32648.28,0,1,1,0,601,1,1,0,0
22,153984.45,0,0,1,0,1054,1,0,0,1
47,88928.94,0,0,0,0,5578,0,1,0,1
24,52516.98,0,0,1,0,1514,1,0,0,1
21,143897.85,0,0,2,0,3283,0,1,0,1
27,211203.99,0,0,1,0,1419,1,0,0,1
71,87277.8,0,1,2,0,2929,0,0,1,0
42,51224.58,0,0,1,0,5319,1,1,0,1
27,63663.6,0,0,1,0,695,0,1,0,1
47,183221.97,0,1,2,0,5473,1,1,0,0
27,44550.48,0,1,1,0,685,0,0,0,1
69,90588.63,0,1,2,0,4286,1,1,0,1
56,181108.44,0,1,1,0,5022,0,1,0,0
42,96967.65,0,1,2,0,1084,1,1,0,0
75,71771.25,0,1,2,0,755,0,1,0,0
43,55313.31,0,0,0,0,768,1,1,0,1
54,166534.17,0,0,0,0,5347,0,1,0,1
22,50108.88,0,0,1,0,1132,1,0,0,1
32,30707.22,0,1,2,0,984,1,0,0,0
55,170100.0,0,1,1,0,1200,1,1,0,0
74,125991.39,0,1,4,0,5988,0,0,1,0
83,54606.03,0,1,5,0,4582,0,0,1,0
41,107829.24,0,0,1,0,2780,1,1,0,1
32,96158.46,0,1,4,0,1706,0,1,0,0
21,186518.19,0,1,1,0,3758,0,1,0,0
26,65734.35,0,0,1,0,737,1,0,0,1
27,90386.7,0,1,2,0,3748,1,0,0,0
39,57235.86,0,1,2,0,4192,1,1,0,1
24,179838.57,0,1,1,0,1033,1,0,0,1
28,52770.66,0,0,1,0,1868,0,0,0,1
75,46830.15,0,0,1,0,4267,0,1,0,1
56,80716.44,0,0,0,0,5305,0,1,0,1
34,113288.94,0,1,4,0,373,0,1,0,0
24,133743.87,0,0,1,0,1809,1,0,0,1
22,54087.3,0,0,1,0,1132,1,0,0,1
61,144136.08,0,1,2,0,990,0,1,0,0
53,95403.36,0,1,4,0,5975,0,0,1,0
41,106557.45,0,1,5,0,2258,1,1,0,0
22,40219.83,0,0,0,0,1131,1,0,0,1
49,90192.75,0,0,1,0,5864,0,1,0,1
41,88727.82,0,0,1,0,4318,0,1,0,1
23,130998.78,0,0,0,0,3917,1,0,0,1
49,100993.38,0,1,1,0,7048,0,1,0,0
41,410796.66,0,1,1,0,2358,1,1,0,0
62,134965.11,0,1,1,0,2273,0,1,0,1
27,52194.18,0,1,2,0,677,0,0,0,0
32,62965.56,0,0,0,0,1774,0,0,0,1
29,50349.21,0,0,1,0,1455,0,0,0,1
44,117237.24,0,0,0,0,3652,0,1,0,1
22,66398.85,0,0,1,0,725,0,0,0,1
20,65136.15,0,1,1,0,426,0,0,0,0
40,297720.33,0,0,1,0,4813,0,1,0,1
52,150548.22,0,1,1,0,2893,1,1,0,0
58,51990.12,0,1,5,0,4338,0,1,0,0
52,87856.02,0,1,4,0,6472,0,1,0,0
55,306887.07,0,1,2,0,3432,1,1,0,0
42,75266.31,0,1,2,0,375,1,1,0,0
54,151264.26,1,1,3,0,4629,0,1,0,0
24,65092.8,0,1,1,0,1445,1,0,0,0
83,129645.75,0,0,0,0,4895,0,1,0,1
46,137555.49,0,1,4,0,5471,0,1,0,0
25,48582.9,0,0,1,0,1508,1,0,0,1
75,337589.19,0,0,1,0,7776,0,1,0,1
47,250209.81,0,0,0,0,6005,0,1,0,1
23,45945.78,0,0,1,0,1466,1,0,0,1
44,157428.3,0,1,4,0,5186,0,1,0,0
42,111772.41,0,1,2,0,2885,1,1,0,0
24,164288.97,0,0,1,0,1098,1,0,0,1
25,50289.42,0,0,1,0,1872,1,0,0,1
21,57667.8,0,0,0,0,725,1,0,0,1
26,33926.76,0,0,1,0,1818,1,0,0,1
31,108282.78,1,1,1,0,606,0,1,0,0
40,46407.48,0,0,0,0,4329,1,1,0,1
51,61425.69,0,1,1,0,4113,1,1,0,0
58,195030.78,0,0,1,0,5438,0,1,0,1
42,250030.74,0,1,2,0,1545,1,1,0,0
32,29398.26,0,0,0,0,1433,1,1,0,1
23,88983.48,0,1,1,0,1521,0,0,0,1
26,89912.73,0,1,1,0,1867,0,0,0,1
26,213594.78,0,0,1,0,1151,0,0,0,1
63,78409.83,0,0,1,0,1817,1,1,0,1
71,242253.39,0,0,0,0,2232,0,1,0,1
64,60338.88,0,0,1,0,6338,0,1,0,1
30,62790.75,0,0,1,0,1759,0,0,0,1
20,93281.4,0,0,1,0,726,0,0,0,1
26,90822.54,0,0,1,0,425,0,0,0,1
41,175419.48,1,1,3,0,4920,1,1,0,0
26,44655.24,0,0,1,0,1146,1,0,0,1
49,80436.75,0,1,2,0,6509,0,1,0,0
80,130654.2,0,1,1,0,3750,1,1,0,0
38,97091.97,0,1,1,0,1454,1,1,0,0
21,154748.37,0,0,1,0,695,1,0,0,1
26,234028.74,0,1,1,0,3693,0,0,0,0
23,94110.57,0,0,1,0,1446,1,0,0,1
22,118003.41,0,1,1,0,1126,0,0,0,1
20,66238.71,0,0,0,0,414,0,0,0,1
24,130822.74,1,1,4,0,2613,0,1,0,0
32,54369.69,0,1,2,0,1711,0,1,0,0
22,55925.82,0,1,2,0,3911,1,0,0,0
21,352702.95,0,0,1,0,426,1,0,0,1
45,57678.6,0,1,2,0,7544,1,1,0,0
33,122310.66,1,1,5,0,796,0,1,0,0
39,162514.44,1,1,3,0,6908,0,1,0,0
48,148658.67,0,0,1,0,3987,1,1,0,1
74,65049.33,0,0,0,0,5326,0,1,0,1
46,297163.5,0,0,0,0,3029,1,1,0,1
22,105784.59,0,1,1,0,1132,1,0,0,0
23,120411.06,0,0,1,0,1053,1,0,0,1
34,72310.68,0,0,1,0,4576,1,1,0,1
55,113781.66,0,1,4,0,968,1,1,0,0
30,82348.47,0,0,1,0,1580,0,1,0,1
24,60380.61,0,1,1,0,1507,1,0,0,0
45,403880.64,0,1,2,0,3349,1,1,0,0
34,81599.79,0,0,1,0,1809,1,1,0,1
55,255592.11,0,0,0,0,3862,1,1,0,1
61,164655.54,0,0,1,0,2862,1,1,0,1
66,315167.7,0,0,0,0,5342,1,1,0,1
43,213777.72,0,0,1,0,4413,1,1,0,1
42,78034.86,1,1,5,0,4251,0,1,0,0
47,88014.72,1,1,5,0,4912,1,1,0,0
48,83527.53,0,1,2,0,6463,1,1,0,0
56,224784.24,0,1,1,0,6246,1,1,0,0
24,54297.9,0,0,1,0,1867,0,0,0,1
49,204214.44,1,1,3,0,1804,0,1,0,0
23,41317.62,0,0,1,0,670,1,0,0,1
21,94836.78,0,0,1,0,373,0,0,0,1
24,45037.8,0,0,1,0,1759,0,0,0,1
21,34209.66,0,0,1,0,783,0,0,0,1
22,95791.02,0,0,1,0,1076,0,0,0,1
54,146730.27,0,0,1,0,3985,1,1,0,1
41,99201.9,0,0,2,0,2764,1,1,0,1
36,353447.55,0,1,1,0,2285,0,1,0,0
51,324947.28,0,1,2,0,4301,1,1,0,0
24,58021.05,0,0,1,0,1509,1,0,0,1
25,86619.9,0,0,1,0,734,1,0,0,1
23,85280.28,0,0,1,0,1453,1,0,0,1
21,139237.68,0,1,1,0,779,0,0,0,0
23,99158.7,0,0,1,0,1467,1,0,0,1
24,170875.44,0,0,1,0,1810,1,0,0,1
44,145642.74,0,1,2,0,4044,0,1,0,0
38,142501.29,0,0,1,0,4241,0,1,0,0
52,85695.12,0,0,0,0,7598,0,1,0,1
47,67991.88,0,0,0,0,669,0,1,0,1
23,75281.31,0,1,1,0,1075,1,0,0,0
28,44582.04,0,0,1,0,1462,0,0,0,1
58,144736.77,0,1,4,0,5837,0,0,1,0
25,367566.24,0,0,0,0,1390,1,0,0,1
25,32250.33,0,1,2,0,1083,1,1,0,0
49,65490.0,0,0,0,0,1396,1,1,0,1
37,136696.8,0,1,2,0,766,0,1,0,0
49,336973.59,0,1,1,0,1665,0,1,0,1
31,75208.74,0,0,1,0,1514,1,0,0,1
40,65712.24,0,0,0,0,842,0,1,0,1
60,192599.25,0,1,5,0,5536,1,1,0,0
24,101509.38,0,0,1,0,1741,0,0,0,1
26,34657.38,0,0,1,0,1776,0,0,0,1
20,68221.35,0,0,1,0,790,0,0,0,0
43,132522.36,0,1,2,0,2502,0,1,0,0
31,49967.34,0,1,2,0,789,0,1,0,0
38,35248.89,0,0,1,0,3246,0,1,0,1
41,98233.11,0,1,2,0,5451,0,1,0,0
23,48115.2,0,0,1,0,1067,1,0,0,1
42,61097.04,0,0,0,0,1396,0,1,0,1
26,57910.71,0,0,1,0,1446,1,0,0,1
23,43477.38,0,0,1,0,719,1,0,0,1
25,120333.69,0,0,1,0,1759,0,0,0,1
58,132187.77,0,0,1,0,7215,0,1,0,1
35,23767.11,0,0,1,0,1055,1,1,0,1
53,48647.58,0,0,1,1,3348,1,1,0,0
36,51431.58,0,0,0,0,1504,0,1,0,1
31,54860.52,0,0,1,0,1760,1,0,0,1
38,257419.65,0,1,1,0,1504,1,1,0,0
22,94763.49,0,1,1,0,1090,1,0,0,0
28,98535.9,0,1,1,0,1091,1,0,0,0
85,42135.6,0,1,2,0,4503,1,1,0,0
34,101684.85,0,1,3,0,733,0,1,0,0
57,153733.56,0,0,3,0,4162,0,1,0,0
65,122549.64,0,1,4,0,3268,0,1,0,0
23,55711.41,0,0,1,0,1481,1,0,0,1
24,150005.58,0,0,1,0,1516,1,0,0,1
36,227416.98,0,1,4,0,2330,1,1,0,0
67,57809.01,1,1,2,0,6628,0,1,0,0
53,81800.37,0,1,2,0,2680,0,1,0,0
65,97604.49,0,1,3,0,3508,0,1,0,0
25,39285.57,0,0,1,0,1420,1,0,0,1
34,107254.47,0,1,2,0,1104,1,1,0,0
23,109161.3,0,0,1,0,1517,0,0,0,1
61,71214.09,1,1,4,0,3666,0,0,1,0
69,74069.04,0,0,1,0,7487,1,1,0,0
49,58125.24,0,1,3,0,4462,0,1,0,0
24,29992.38,0,0,1,0,1801,1,0,0,1
26,54882.96,0,0,1,0,1070,0,0,0,1
48,222316.2,0,1,1,0,3730,0,1,0,0
36,56563.86,0,1,1,0,804,0,1,0,0
28,104341.05,0,0,1,0,1762,0,0,0,1
49,114610.41,0,0,1,0,4674,0,1,0,1
51,92152.62,0,1,3,0,6403,0,1,0,0
80,109440.75,0,0,1,0,5436,0,1,0,1
29,156573.84,0,0,0,0,695,0,0,0,1
41,87439.32,0,0,0,0,3407,1,1,0,1
76,30114.87,0,0,0,0,4814,0,1,0,0
53,84896.61,0,1,1,0,3061,0,1,0,1
72,286482.6,0,1,1,0,6954,0,1,0,0
38,99149.43,0,0,1,0,5969,0,1,0,1
24,82728.0,0,0,1,0,1802,1,0,0,1
31,120968.67,0,0,1,0,1391,0,0,0,1
89,198109.14,0,0,0,0,5165,1,1,0,1
83,91888.74,0,0,0,0,4931,0,1,0,1
29,82520.67,0,0,1,0,1795,1,0,0,1
60,112092.3,0,0,2,0,5466,0,1,0,1
23,84880.8,0,0,1,0,1507,0,0,0,1
22,83684.7,0,1,1,0,1073,1,0,0,0
48,61095.84,0,1,1,0,3039,0,1,0,0
73,150580.74,0,1,5,0,5465,0,0,1,0
61,113966.94,0,1,2,0,5599,0,1,0,0
22,84542.25,0,1,1,0,1150,1,0,0,0
44,131631.42,0,1,1,0,3614,0,1,0,0
54,67606.05,0,0,1,0,4957,1,1,0,1
52,204765.21,0,1,1,0,4450,0,1,0,1
36,94849.23,0,0,1,0,5183,0,1,0,1
32,167174.19,0,0,1,0,1447,1,0,0,1
57,118234.53,0,1,3,0,2348,1,1,0,0
21,84613.59,0,1,1,0,409,1,0,0,0
46,152989.35,0,0,1,0,3545,0,1,0,1
78,54711.09,0,1,2,0,2106,1,1,0,0
65,45731.82,0,0,0,0,2893,1,1,0,1
51,51470.67,0,1,2,0,5172,1,1,0,1
37,78220.53,0,0,1,0,1591,0,1,0,1
40,45479.7,0,0,0,0,5263,1,1,0,1
42,150906.33,0,1,1,0,1244,0,1,0,1
22,62326.02,0,0,1,0,1465,1,0,0,1
47,80213.85,0,0,0,0,1927,0,1,0,1
47,157376.76,0,0,1,0,2897,1,1,0,1
24,398782.83,0,0,1,0,1831,1,0,0,1
51,177099.3,0,0,1,0,7205,0,1,0,1
22,47398.74,0,0,0,0,1038,1,0,0,1
47,52629.36,0,0,0,0,677,0,1,0,1
41,71738.37,0,1,1,0,5129,0,1,0,1
82,447427.32,0,0,1,0,4058,0,1,0,1
28,65468.55,0,0,1,0,1143,1,0,0,1
48,56312.64,0,1,2,0,5479,0,1,0,0
24,68772.84,0,0,1,0,1735,1,0,0,1
23,62168.28,0,0,1,0,1131,0,0,0,1
41,94830.12,0,1,2,0,3905,0,1,0,0
49,84905.07,0,0,0,0,2909,0,1,0,1
24,65405.88,0,0,1,0,1084,1,0,0,1
44,93137.43,0,0,0,0,6611,1,1,0,1
22,55908.78,0,0,1,0,716,1,0,0,1
45,61822.32,0,0,1,0,3020,0,1,0,1
45,96466.44,0,0,0,0,5363,0,1,0,1
35,230722.74,0,0,0,0,696,0,1,0,0
21,109310.31,0,0,1,0,685,1,0,0,1
46,55761.15,0,0,0,0,1020,0,1,0,1
41,154762.98,0,1,1,0,4631,1,1,0,0
23,40388.31,0,0,1,0,692,0,0,0,1
22,34128.09,0,0,1,0,748,1,0,0,1
27,61853.94,0,1,5,0,1074,1,0,0,0
48,139451.4,0,1,1,0,7661,0,1,0,0
26,46256.58,0,0,1,0,1671,1,0,0,1
39,51560.67,0,1,2,0,2775,1,1,0,0
32,35993.1,0,0,1,0,1822,1,0,0,1
48,98538.87,0,1,1,0,4037,1,1,0,0
38,190398.81,0,1,2,0,4871,1,1,0,0
23,61494.21,0,1,1,0,1504,1,0,0,0
77,140111.25,0,0,2,0,4934,0,1,0,1
32,99441.99,0,0,0,0,1888,1,0,0,1
66,117306.06,0,0,1,0,5554,1,1,0,1
30,63866.49,0,0,0,0,3385,1,1,0,1
46,161146.68,0,0,0,0,4758,1,1,0,1
24,101835.48,0,0,1,0,783,1,0,0,1
26,302561.52,0,0,1,0,1837,0,0,0,1
87,55605.09,0,1,2,0,5466,1,1,0,0
27,77179.71,0,0,0,0,674,1,0,0,1
22,123862.62,0,1,1,0,1096,0,0,0,0
46,147565.41,0,1,1,0,6113,1,1,0,0
62,114450.36,0,1,5,0,6128,0,1,0,0
28,108157.38,0,1,2,0,451,1,0,0,0
76,201223.59,0,1,3,0,5094,0,0,1,0
23,44626.74,0,0,1,0,1466,1,0,0,1
23,44476.26,0,1,1,0,1430,1,0,0,0
23,17199.0,0,0,0,0,1508,0,0,0,1
54,85761.87,0,1,5,0,6017,1,0,1,0
77,25380.0,0,1,3,0,5529,1,1,0,0
28,121429.11,0,0,1,0,1770,0,0,0,1
23,73005.96,0,0,1,0,1511,0,0,0,1
47,35982.45,0,0,1,0,2791,0,1,0,1
47,297341.79,1,1,3,0,1458,0,1,0,0
21,37482.57,0,0,1,0,692,1,0,0,1
51,95344.41,0,0,0,0,5308,1,1,0,1
72,86017.02,0,1,1,0,6522,0,1,0,1
25,148269.63,0,1,1,0,1425,0,0,0,1
25,59085.6,0,0,1,0,2078,0,1,0,1
28,258573.24,0,0,0,0,2299,1,1,0,1
22,93280.98,0,0,1,0,1413,0,0,0,1
56,299022.21,0,1,3,0,4969,0,1,0,0
26,102436.44,0,0,0,0,467,1,0,0,1
44,137180.43,0,1,3,0,4980,1,0,1,0
44,141046.68,0,0,1,0,4533,1,1,0,1
48,117642.93,0,0,1,0,984,0,1,0,1
24,203010.18,0,0,1,0,676,0,0,0,1
36,60470.82,0,0,0,0,4185,0,1,0,0
27,59214.3,0,0,1,0,1046,1,0,0,1
26,120492.84,0,1,1,0,788,0,1,0,1
22,84826.89,0,1,1,0,418,1,0,0,0
33,194363.97,0,0,1,0,2350,1,1,0,1
27,215562.45,0,0,1,0,1872,1,0,0,1
39,137091.69,0,1,2,0,5416,0,1,0,0
22,76055.97,0,0,1,0,949,0,1,0,1
